region,date,day,month,year,temp_c,rel_humidity_percent,wind_speed_kmh,rainfall_mm,ffmc,dmc,dc,isi,bui,fwi,classes
Sidi-Bel Abbes,2012-09-02,02,09,2012,28.0,67.0,19.0,0.0,75.4,2.9,16.3,2,4,0.8,not fire
Sidi-Bel Abbes,2012-09-03,03,09,2012,28.0,75.0,16.0,0.0,82.2,4.4,24.3,3.3,6,2.5,fire
Sidi-Bel Abbes,2012-09-04,04,09,2012,30.0,66.0,15.0,0.2,73.5,4.1,26.6,1.5,6,0.7,not fire
Sidi-Bel Abbes,2012-09-05,05,09,2012,30.0,58.0,12.0,4.1,66.1,4,8.4,1,3.9,0.4,not fire
Sidi-Bel Abbes,2012-09-06,06,09,2012,34.0,71.0,14.0,6.5,64.5,3.3,9.1,1,3.5,0.4,not fire
Sidi-Bel Abbes,2012-09-07,07,09,2012,31.0,62.0,15.0,0.0,83.3,5.8,17.7,3.8,6.4,3.2,fire
Sidi-Bel Abbes,2012-09-08,08,09,2012,30.0,88.0,14.0,0.0,82.5,6.6,26.1,3,8.1,2.7,fire
Sidi-Bel Abbes,2012-09-09,09,09,2012,30.0,80.0,15.0,0.0,83.1,7.9,34.5,3.5,10,3.7,fire
Sidi-Bel Abbes,2012-09-10,10,09,2012,29.0,74.0,15.0,1.1,59.5,4.7,8.2,0.8,4.6,0.3,not fire
Sidi-Bel Abbes,2012-09-11,11,09,2012,30.0,73.0,14.0,0.0,79.2,6.5,16.6,2.1,6.6,1.2,not fire
Sidi-Bel Abbes,2012-09-12,12,09,2012,31.0,72.0,14.0,0.0,84.2,8.3,25.2,3.8,9.1,3.9,fire
Sidi-Bel Abbes,2012-09-13,13,09,2012,29.0,49.0,19.0,0.0,88.6,11.5,33.4,9.1,12.4,10.3,fire
Sidi-Bel Abbes,2012-09-14,14,09,2012,28.0,81.0,15.0,0.0,84.6,12.6,41.5,4.3,14.3,5.7,fire
Sidi-Bel Abbes,2012-09-15,15,09,2012,32.0,51.0,13.0,0.0,88.7,16,50.2,6.9,17.8,9.8,fire
Sidi-Bel Abbes,2012-09-16,16,09,2012,33.0,26.0,13.0,0.0,93.9,21.2,59.2,14.2,22.4,19.3,fire
Sidi-Bel Abbes,2012-09-17,17,09,2012,34.0,44.0,12.0,0.0,92.5,25.2,63.3,11.2,26.2,17.5,fire
Sidi-Bel Abbes,2012-09-18,18,09,2012,36.0,33.0,13.0,0.1,90.6,25.8,77.8,9,28.2,15.4,fire
Sidi-Bel Abbes,2012-09-19,19,09,2012,29.0,41.0,8.0,0.1,83.9,24.9,86,2.7,28.9,5.6,fire
Sidi-Bel Abbes,2012-09-20,20,09,2012,34.0,58.0,13.0,0.2,79.5,18.7,88,2.1,24.4,3.8,not fire
Sidi-Bel Abbes,2012-09-21,21,09,2012,35.0,34.0,17.0,0.0,92.2,23.6,97.3,13.8,29.4,21.6,fire
Sidi-Bel Abbes,2012-09-22,22,09,2012,33.0,64.0,13.0,0.0,88.9,26.1,106.3,7.1,32.4,13.7,fire
Sidi-Bel Abbes,2012-09-23,23,09,2012,35.0,56.0,14.0,0.0,89,29.4,115.6,7.5,36,15.2,fire
Sidi-Bel Abbes,2012-09-24,24,09,2012,26.0,49.0,6.0,2.0,61.3,11.9,28.1,0.6,11.9,0.4,not fire
Sidi-Bel Abbes,2012-09-25,25,09,2012,28.0,70.0,15.0,0.0,79.9,13.8,36.1,2.4,14.1,3,not fire
Sidi-Bel Abbes,2012-09-26,26,09,2012,30.0,65.0,14.0,0.0,85.4,16,44.5,4.5,16.9,6.5,fire
Sidi-Bel Abbes,2012-09-27,27,09,2012,28.0,87.0,15.0,4.4,41.1,6.5,8,0.1,6.2,0,not fire
Sidi-Bel Abbes,2012-09-28,28,09,2012,27.0,87.0,29.0,0.5,45.9,3.5,7.9,0.4,3.4,0.2,not fire
Sidi-Bel Abbes,2012-09-29,29,09,2012,24.0,54.0,18.0,0.1,79.7,4.3,15.2,1.7,5.1,0.7,not fire
Sidi-Bel Abbes,2012-09-30,30,09,2012,24.0,64.0,15.0,0.2,67.3,3.8,16.5,1.2,4.8,0.5,not fire
